
+------+---------------+---------------------------------+---------------------+---------------------+----------------------+--------------+--------------+------------+--------------+-----------+-----------------+-------------------+
|  ID  | transactionId |       recipientsXNAddress       | recipientsXM8UserId |        stamp        |  CONTROL_POINT_type  | CONTACT_type | contact_name | PHONE_type |    number    | extension |   claimNumber   | origTransactionId |
| None |    006XHDS    |          XACTNET.QUEUE          |                     | 2020-04-16T10:24:44 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003102576-8-W  |        None       |
| None |    007CHVY    |         ACSC.TEST.STAFF         |                     | 2020-10-21T11:16:47 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123882-8-W  |        None       |
| None |    0073B5C    |         ACSC.TEST.STAFF         |                     | 2020-06-26T12:35:07 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113223-8-W  |        None       |
| None |    00731D2    |         ACSC.TEST.STAFF         |                     | 2020-06-22T08:46:38 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112002-8-W  |        None       |
| None |    0071WB9    |          ACSC.TEST.DP5          |                     | 2020-06-01T16:21:09 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003107537-8-W  |        None       |
| None |    0071W9Q    |         ACSC.TEST.STAFF         |                     | 2020-06-01T16:13:29 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003107531-8-W  |        None       |
| None |    00738WW    |          XACTNET.QUEUE          |                     | 2020-06-25T15:36:50 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003113138-8-W  |        None       |
| None |    00731QX    |           ACSC.TEST.PT          |                     | 2020-06-22T10:53:01 |       Canceled       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112329-8-W  |        None       |
| None |    00731D3    |         ACSC.TEST.STAFF         |                     | 2020-06-22T08:46:39 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112051-8-W  |        None       |
| None |    0073LN2    |         ACSC.TEST.STAFF         |                     | 2020-09-30T08:59:34 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113761-8-W  |        None       |
| None |    0079VVZ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:02:57 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121139-8-W  |        None       |
| None |    00731C8    |          XACTNET.QUEUE          |                     | 2020-06-22T08:46:01 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111845-8-W  |        None       |
| None |    00720SB    |         ACSC.TEST.STAFF         |                     | 2020-06-03T08:54:33 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003107826-8-W  |        None       |
| None |    0078HV3    |         ACSC.TEST.STAFF         |                     | 2020-09-11T09:13:30 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003120919-8-W  |        None       |
| None |    0072BJM    |         ACSC.TEST.STAFF         |                     | 2020-06-09T14:08:21 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003109167-8-W  |        None       |
| None |    007B39B    |          XACTNET.QUEUE          |                     | 2020-09-24T10:14:37 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121621-8-W  |        None       |
| None |    0072R60    |          XACTNET.QUEUE          |                     | 2020-06-17T08:12:19 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111247-8-W  |        None       |
| None |    00732KS    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:33:06 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112563-8-W  |        None       |
| None |    007B180    |           TEST.XNA.GL           |                     | 2020-09-23T07:38:13 |      Delivered       |   ClaimRep   |     None     |    None    |     None     |    None   |  003098255-8-W  |        None       |
| None |    006Z07L    |          XACTNET.QUEUE          |                     | 2020-05-01T14:11:22 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003104082-8-W  |        None       |
| None |    0078NNC    |         ACSC.TEST.STAFF         |                     | 2020-09-14T15:23:33 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121011-8-W  |        None       |
| None |    007BLZ1    |         ACSC.TEST.STAFF         |                     | 2020-10-01T11:59:17 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122120-8-W  |        None       |
| None |    0072MDH    |          XACTNET.QUEUE          |                     | 2020-06-15T14:25:01 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110457-8-W  |        None       |
| None |    0072P3Z    |          XACTNET.QUEUE          |                     | 2020-06-16T10:38:07 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110832-8-W  |        None       |
| None |    0073LN3    |         ACSC.TEST.STAFF         |                     | 2020-07-02T09:02:40 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113763-8-W  |        None       |
| None |    00734F2    |          XACTNET.QUEUE          |                     | 2020-06-23T11:49:15 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112756-8-W  |        None       |
| None |    0079VVR    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:02:46 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121076-8-W  |        None       |
| None |    0073174    |          XACTNET.QUEUE          |                     | 2020-06-22T08:42:41 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111360-8-W  |        None       |
| None |    00731N2    |           ACSC.TEST.PT          |                     | 2020-06-22T10:23:24 | Notification Pending |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112315-8-W  |        None       |
| None |    00733WN    |           ACSC.TEST.PT          |                     | 2020-06-23T08:20:23 |   In Assign Queue    |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112612-8-W  |        None       |
| None |    007C9W2    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:03 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123318-8-W  |        None       |
| None |    00721CG    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:28:20 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003107969-8-W  |        None       |
| None |    006PPF7    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:07:18 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005041022-8-X  |        None       |
| None |    0071NLD    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:27:36 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003107275-8-W  |        None       |
| None |    0073404    |          XACTNET.QUEUE          |                     | 2020-06-23T09:32:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112629-8-W  |        None       |
| None |    006YJFM    |          XACTNET.QUEUE          |                     | 2020-04-24T15:36:56 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103611-8-W  |        None       |
| None |    007CBR5    |         ACSC.TEST.STAFF         |       TORRES.P      | 2020-10-14T23:40:00 |      Contacted       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123410-8-W  |        None       |
| None |    00734V1    |          XACTNET.QUEUE          |                     | 2020-06-23T15:38:57 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112954-8-W  |        None       |
| None |    007CG40    |         ACSC.TEST.STAFF         |                     | 2020-10-19T15:20:04 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123761-8-W  |        None       |
| None |    0074P9S    |          XACTNET.QUEUE          |                     | 2020-07-23T11:48:25 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  005045057-8-X  |        None       |
| None |    006W1MV    |          XACTNET.QUEUE          |                     | 2020-04-03T09:00:49 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003101289-8-W  |        None       |
| None |    007217J    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:28:18 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003107946-8-W  |        None       |
| None |    007CBKQ    |         ACSC.TEST.STAFF         |                     | 2020-10-15T10:20:40 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123328-8-W  |        None       |
| None |    0075L7C    |         ACSC.TEST.STAFF         |                     | 2020-08-05T08:24:19 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117394-8-W  |        None       |
| None |    0076JDN    |         ACSC.TEST.STAFF         |                     | 2020-08-18T10:37:32 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005045219-8-X  |        None       |
| None |    0075NMS    |         ACSC.TEST.STAFF         |                     | 2020-08-06T11:53:29 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117818-8-W  |        None       |
| None |    007B17T    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-23T01:00:00 |    Site Inspected    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121498-8-W  |        None       |
| None |    006P2HL    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:05:45 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005039253-8-X  |        None       |
| None |    00733XR    |         ACSC.TEST.STAFF         |                     | 2020-06-23T08:40:14 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112617-8-W  |        None       |
| None |    0072HMF    |          XACTNET.QUEUE          |                     | 2020-06-12T13:07:50 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110037-8-W  |        None       |
| None |    0072ML2    |          XACTNET.QUEUE          |                     | 2020-06-15T15:40:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110528-8-W  |        None       |
| None |    007319X    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:54 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111690-8-W  |        None       |
| None |    007B17X    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-22T23:00:00 |    Site Inspected    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121500-8-W  |        None       |
| None |    0072R44    |          XACTNET.QUEUE          |                     | 2020-06-17T07:47:58 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111235-8-W  |        None       |
| None |    0073190    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:09 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111539-8-W  |        None       |
| None |    007CBQX    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:22 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123404-8-W  |        None       |
| None |    0073176    |          XACTNET.QUEUE          |                     | 2020-06-22T08:42:44 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111364-8-W  |        None       |
| None |    007B3NT    |          XACTNET.QUEUE          |                     | 2020-09-24T13:36:06 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121670-8-W  |        None       |
| None |    0072NSP    |          XACTNET.QUEUE          |                     | 2020-06-16T08:51:11 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110693-8-W  |        None       |
| None |    007CDKZ    |         ACSC.TEST.STAFF         |                     | 2020-10-16T15:45:22 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123607-8-W  |        None       |
| None |    00734M6    |          XACTNET.QUEUE          |                     | 2020-06-23T13:26:59 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112810-8-W  |        None       |
| None |    007C9DJ    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:44 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123250-8-W  |        None       |
| None |    006PPBG    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:07:04 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005040484-8-X  |        None       |
| None |    007CBP9    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:14 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123366-8-W  |        None       |
| None |    00732M9    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:33:09 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112567-8-W  |        None       |
| None |    007B187    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-22T22:00:00 |    Site Inspected    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121504-8-W  |        None       |
| None |    006Y43C    |          ACSC.TEST.DP5          |                     | 2020-04-21T15:07:04 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003103115-8-W  |        None       |
| None |    0072MF8    |          XACTNET.QUEUE          |                     | 2020-06-15T14:40:34 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110462-8-W  |        None       |
| None |    00713VR    |         ACSC.TEST.STAFF         |                     | 2020-05-19T12:07:42 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003105966-8-W  |        None       |
| None |    0079VVV    |          XACTNET.QUEUE          |                     | 2020-09-22T16:06:09 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121084-8-W  |        None       |
| None |    00761GR    |         ACSC.TEST.STAFF         |                     | 2020-08-11T13:37:35 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003118758-8-W  |        None       |
| None |    00731N2    |           ACSC.TEST.PT          |                     | 2020-06-22T10:23:54 |      Contacted       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112315-8-W  |        None       |
| None |    00733XR    |         ACSC.TEST.STAFF         |                     | 2020-06-23T08:41:02 |    Site Inspected    |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112617-8-W  |        None       |
| None |    006Y459    |          XACTNET.QUEUE          |                     | 2020-04-21T15:36:05 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103137-8-W  |        None       |
| None |    006YLR1    |          XACTNET.QUEUE          |                     | 2020-04-27T09:13:51 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103339-8-W  |        None       |
| None |    0072HMR    |          XACTNET.QUEUE          |                     | 2020-06-12T13:15:22 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110046-8-W  |        None       |
